Title,Likes,Comments,Saved
"📲Blinkay estará a cargo del cobro de estacionómetros virtuales por segundo año consecutivo.🚙

✍️: @isauraretana
sonido original - POSTA Durango
Durango",120,8,23
"😱🛻¿Ya conocías la camioneta del compa de los caballos? 🐎 🐴

✍️:Jesús Carrillo
sonido original - POSTA Durango
Durango",194,9,15
"Durante la visita de #ClaudiaSheinbaum a #Durango 🦂, se hizo presente la mercancía de #AMLO para los fieles seguidores de

sonido original - POSTA Durango
Durango",7634,351,354
"Parte 2 | Claudia Hernández Espino | La Entrevista con Jesús Carrillo.

Abogada, Maestra en Políticas Públicas y Educación, Docente, Política y Mamá.

sonido original - POSTA Durango",4,0,0
"Parte 1 | Claudia Hernández Espino | La Entrevista con Jesús Carrillo.

Abogada, Maestra en Políticas Públicas y Educación, Docente, Política y Mamá.

sonido original - POSTA Durango",4,1,0
"🔴Al parecer Lilly Téllez esta un poco confundida con el significado de sexo y genero ya que piensa que es lo mismo.😰





sonido original - POSTA Durango",1,0,0
"#EnLaShorcha ✨ | Nodal comparte un tierno momento que captó de su bebé Inti. 👶🏻😘

✍️: @mariomoon31
sonido original - POSTA Durango",3,0,0
"#Wikichip 🤖 | #FindMyDevice viene con nuevas actualizaciones y lista para utilizarse con Android. 📱

✍🏻:
sonido original - POSTA Durango",6,0,0
"La #Entrevista 🎙️ con Claudia Hernández solo en #POSTA. 🔴
sonido original - POSTA Durango",5,0,0
"Nuestras áreas verdes son importantes para el planeta y para vivir, es por eso que te damos estas recomendaciones para prevenir incendios forestales. 🌳🌲

sonido original - POSTA Durango",37,1,1
"🔭Un trío de jóvenes científicos en busca de observar el increíble espectáculo del Eclipse Solar Total del año en #Durango.🙌🏼🤩





sonido original - POSTA Durango",32,1,1
"😲Así fue como se vivió el #EclipseSolarTotal desde el #Bebeleche Museo Interactivo de #Durango, en donde cientos de personas incluyendo turistas vivieron una experiencia inolvidable.🙌🏼🔭🌒

sonido original - POSTA Durango",12,0,0
"En POSTA Durango tuvimos la oportunidad de platicar con Danilo Torres, el coordinador logístico de un equipo de científicos e ingenieros que se dedican a la observación del sol durante los eclipses.☀️🙌🏻




sonido original - POSTA Durango",187,6,4
"🤩¡Cada vez falta menos para poder observar el evento astronómico más esperado del año! 🔭🌕

🔴En #POSTA te contamos que son las cosas a las que debes prestar atención durante el próximo




sonido original - POSTA Durango",34,0,0
"¿Aún no tienes tus lentes para el #EclipseSolar del 8 de abril?🕶️☀️

En #POSTA nos pusimos creativos para enseñarles a hacer unos visores y que no se pierdan del eclipse en familia.🤩🙌🏻

sonido original - POSTA Durango",25,2,2
"Parte 2| Selene Figueroa | La Entrevista con Jesús Carrillo.

Árbitra profesional, Reina de Belleza de Canatlán, Durango 2022.

sonido original - POSTA Durango",37,0,0
"Parte 1| Selene Figueroa | La Entrevista con Jesús Carrillo.

Árbitra profesional, Reina de Belleza de Canatlán, Durango 2022.



sonido original - POSTA Durango",19,0,0
"#EnLaShorcha ✨ | Danna Paola es criticada luego de salir corriendo de un restaurante.🏃🏻‍♀️🍜

✍️: @mariomoon31

sonido original - POSTA Durango",9,0,0
"#Wikichip 🤖 | ¡El modo incógnito de #GoogleChrome no ofrecía tanta privacidad! 🫣 Te explicamos más sobre esta situación. 👇🏼🧐

sonido original - POSTA Durango",25,2,2
"La #Entrevista🎙️con @selenefigueroamx solo en POSTA.🔴 Próximamente...😃

#LigaMx #arbitro #Futbol
sonido original - POSTA Durango",6,0,0
"¡Uno de los lugares turísticos más bonito de #Durango! 🦂🤩 Te llevamos a un recorrido al Paradero Turístico Nixtalpan, ideal para disfrutar en familia. 🙌🏻

original sound - POSTA Durango",644,10,133
"#EnLaShorcha ✨ | ¡Cristian Castro estrena nuevo romance! 😱

✍️: @mariomoon31
sonido original - POSTA Durango",2,0,0
