Title,Likes,Comments
"Te contamos la hora exacta en la que podrás ver el Eclipse, este próximo 8 de abril. 🤩

Más info en link en bio 🔗

✍🏻: Alejandro Avila

FL",8 likes,
"🚨Al caer de un caballo cuando ‘coleaba’ una vaquilla, fallece en #SantiagoPapasquiaro un adolescente de 17 años.😥🐎

✍🏻: @luizork

Más info en el link en bio🔗

GH",6 likes,
🚨 #ultimahora información en proceso…,16 likes,
"Danna Paola en nueva polémica, la critican por salir corriendo de un restaurante y ella se defiende.

#EnLaShorcha con @marioluna31",12 likes,
"🚨Ya se encuentran en el Cereso, acusados del delito de #homicidio calificado, la madre y el padrastro de Madeleine, la niña de 2 años que falleció el pasado fin de semana en el Hospital Materno Infantil.😓🪦

✍🏻: @luizork

Más info en el link en bio🔗

GH

#lasniñasnosetocan #Durango",8 likes,
"¡LOS NUEVOS GALÁCTICOS! 🤩

👀 Real Madrid ya tiene en la mira a otro posible refuerzo.

🤔 ¿El mejor equipo del mundo?

📹: @luisdavidfalcao

#RealMadrid #LaLiga #uefa",116 likes,
"#ÚltimaHora🚨| Se dio a conocer que @alvarezmaynez visitará Durango el próximo 10 de abril.📆

Más info en el link en bio🔗

GH",14 likes,
"El #SAT 🔵 informó quiénes deben de hacer su Declaración Anual este mes, y los requisitos que necesitas presentar. 👇🏼🧐

Más info en link en bio 🔗

✍🏻: Isaura Retana

FL",__joss.hernandez___,
"El #IEPC 🗳️ informó que aprobaron los diseños de la documentación que se utilizará para votar de manera anticipada. 🫣

Más info en link en bio 🔗

✍🏻: Brenda García

FL",2 likes,
"¿Listos para cantar al ritmo de la madre de todas las bandas? 🤩 Conoce dónde y cuándo podrás disfrutar de este concierto. 🙌🏻

Más info en link en bio 🔗

✍🏻: Alejandro Avila

FL",40 likes,
"Hoy en #Wikichip con @wikichava 🤖

El modo incógnito de #Chrome no ofrecía la privacidad total que se creía, según revela una demanda colectiva en #EUA . Aunque #Google afirmó que los datos no estaban asociados al usuario. Esta situación plantea dudas sobre la publicidad engañosa y quién se vio más afectado.

¿Google o los usuarios? 🕵️‍♂️🔍",69 likes,
La #Entrevista🎙️con @selenefigueroamx solo en POSTA.🔴 Próximamente...😃,48 likes,
"🚨En un hospital de Parral, #Chihuahua, falleció otro de los jovencitos que se accidentaron el fin de semana en el municipio de Indé a bordo de una camioneta Ford Ranger.😓🪦

✍🏻: @luizork

Más info en el link en bio🔗

GH",8 likes,
"#ÚltimaHora🚨| ¡No eres tú, otra vez es Meta! Usuarios reportan que el servicio de mensajería #WhatsApp se cayó.📲

¿Pensaron que los habían bloqueado?😅

Más info en el link en bio🔗

GH

#whatsapp📲 #meta",4 likes,
"#ÚltimaHora🚨| La @ujed_oficial suspende labores con motivo del #eclipsesolar total del 8 de abril.🚫

¿Era necesaria esta medida?

Más info en el link en bio🔗

GH",10 likes,
"¿Aún no tienes tus lentes para el #EclipseSolar del 8 de abril?🕶️☀️

En #POSTA nos pusimos creativos para enseñarles a hacer unos visores y que no se pierdan del eclipse en familia.🤩🙌🏻

🎙️: @chuycarrillo_tv e @izauraretana",13 likes,
"¡Uno de los lugares turísticos más bonito de #Durango! 🦂🤩 Te llevamos a un recorrido al Paradero Turístico Nixtalpan, ideal para disfrutar en familia. 🙌🏻

✍🏻: Jesús Carrillo",victoratv,
"Un felino de mediano tamaño se captó en video en Ricardo Flores Magón, mientras subía por una de sus montañas, sin embargo no se ha precisado la especie. 🐆🫣

Más info en link en bio 🔗

✍🏻: Alejandro Avila

FL",xoo.phie__,
"¡Quedó bajo los escombros! 😰 El lesionado fue trasladado a un hospital para su mayor atención. 🫣

Más info en link en bio 🔗

✍🏻: Alejandro Avila

FL",7 likes,
"📚Se ha confirmado que el próximo lunes 8 de abril no habrá clases en todas las escuelas públicas y privadas de #Durango, con el objetivo de que el #eclipsesolar pueda disfrutarse en familia.🙌🏻☀️

✍🏻: @izauraretana

Más info en el link en bio🔗

GH",14 likes,
"🚨Falleció un adulto mayor que padecía depresión desde hace tiempo, el ahora occiso perdió su lucha contra esta enfermedad y terminó por autolesionarse en su casa en #Durango.😓🪦

✍🏻: @luizork

Más info en el link en bio🔗

GH",9 likes,
"#ÚltimaHora🚨| Se dio a conocer que en #Durango sí habrá suspensión de clases por el eclipse del 8 de abril.🚫

¿Qué opinas de esta medida?🤔

Más info en el link en bio🔗

GH",14 likes,
"🚨¡Febrero loco y marzo otro poco!😵‍💫 La Dirección Municipal de Protección Civil y Bomberos de Durango emitió algunas recomendaciones para evitar accidentes en áreas arboladas.⚠️🌳💨
🔴En #POSTA te dejamos dichas sugerencias.

✍️: Isaura Retana

Más info en el link en bio. 🔗

AH",4 likes,
"🔴Debido a las fuertes rachas de viento que se han presentado estos días en #Durango, la Dirección Municipal de Protección Civil invita a los ciudadanos a evitar áreas arboladas por su seguridad. 🌬️🌲🌲

✍️: Gerardo Lares

Más info en el link en bio. 🔗

AH",5 likes,
