Title,Likes,Comments,Saved
"📲Blinkay estará a cargo del cobro de estacionómetros virtuales por segundo año consecutivo.🚙

✍️: @isauraretana
sonido original - POSTA Durango
Durango",114,8,18
"😱🛻¿Ya conocías la camioneta del compa de los caballos? 🐎 🐴

✍️:Jesús Carrillo
sonido original - POSTA Durango
Durango",193,9,15
"Durante la visita de #ClaudiaSheinbaum a #Durango 🦂, se hizo presente la mercancía de #AMLO para los fieles seguidores de

sonido original - POSTA Durango
Durango",6861,309,310
"#EnLaShorcha ✨ | Danna Paola es criticada luego de salir corriendo de un restaurante.🏃🏻‍♀️🍜

✍️: @mariomoon31

sonido original - POSTA Durango",0,0,0
"#Wikichip 🤖 | ¡El modo incógnito de #GoogleChrome no ofrecía tanta privacidad! 🫣 Te explicamos más sobre esta situación. 👇🏼🧐

sonido original - POSTA Durango",24,2,2
"La #Entrevista🎙️con @selenefigueroamx solo en POSTA.🔴 Próximamente...😃

#LigaMx #arbitro #Futbol
sonido original - POSTA Durango",6,0,0
"¿Aún no tienes tus lentes para el #EclipseSolar del 8 de abril?🕶️☀️

En #POSTA nos pusimos creativos para enseñarles a hacer unos visores y que no se pierdan del eclipse en familia.🤩🙌🏻

This sound isn’t available.",0,0,0
"¡Uno de los lugares turísticos más bonito de #Durango! 🦂🤩 Te llevamos a un recorrido al Paradero Turístico Nixtalpan, ideal para disfrutar en familia. 🙌🏻

original sound - POSTA Durango",444,9,94
"#EnLaShorcha ✨ | ¡Cristian Castro estrena nuevo romance! 😱

✍️: @mariomoon31
sonido original - POSTA Durango",2,0,0
"¿Lo habías visto antes? 🫣 Te damos un pequeño recorrido en el campanario de la Catedral de Durango. 🔔🦂

✍🏻:
sonido original - POSTA Durango",539,17,41
"👹Este domingo 31 de marzo, Edgar Castrellón nos hace una cordial invitación a vivir la tradicional “Quema de Judas”, la cual tiene años realizándose con la finalidad de quemar un muñeco que representa a Judas por su traición a Cristo.🔥😲



original sound - POSTA Durango
CapCut · Edit like a pro",39,0,2
"🔴Se cumple un año desde el trágico incidente que fue provocado por fuego.🔥😣
Aún no se cobra justicia por los migrantes que perdieron la vida en en centro de detención del Instituto Nacional de Migración en Ciudad Juárez.😥



original sound - POSTA Durango",0,0,0
"Maoh Herrera | La Entrevista con Jesús Carrillo.

Compositora, cantante y actriz.

🔴A través de #POSTA.
sonido original - POSTA Durango",7,0,0
"Acompáñanos a ver como se vivió el #viacrucis viviente esta #SemanaSanta en una de las iglesias más conocidas en



Mary Goes to Jesus - Ron Allen & Chris Bleth & John Debney & Nick Ingman & his Orchestra
Durango",57,0,3
"✝️Así es como se vivió la representación de la crucifixión de Cristo en la avenida 20 de noviembre del Centro Histórico de Durango.😱



sonido original - POSTA Durango",200,1,5
"¿Ustedes están de acuerdo con la prohibición de banda en la playa de Mazatlán? 🤔
Es un tema el cual ha dividido opiniones, pero lo que sí, es que ha unido más que nunca a todos los músicos de banda sinaloense 🎺
sonido original - POSTA Durango",10,0,1
"🙌🏼Como ya es tradición en jueves Santo, el día de hoy cientos de duranguenses visitaron los Siete Templos. ⛪️


sonido original - POSTA Durango",37,2,2
"#EnLaShorcha ✨ | ¡Ex esposa de Luis R Conriquez golpea al cantante y a su actual novia!😰

✍️: @mariomoon31
sonido original - POSTA Durango",44,0,1
"#EnLaShorcha ✨ | ¡JLo es criticada por darle su chicle en la mano a su asistente!😱

✍️:@mariomoon31
sonido original - POSTA Durango",1,0,0
"Te resolvemos las dudas acerca del #EclipseSolar ☀️, el cual #Durango 🦂 es afortunado en tener el punto máximo de este evento astronómico. 🙌🏻

sonido original - POSTA Durango
CapCut · Edit like a pro",98,3,8
