Title,Likes,Comments
"Alrededor de dos mil trabajadores de la salud se ven afectados por intereses abusivos. 🫣

Más info en link en bio 🔗

✍️: Isaura Retana

FL",0,0
"Nuestras áreas verdes son importantes para el planeta y para vivir, es por eso que te damos estas recomendaciones para prevenir incendios forestales. 🌳🌲

✍🏻: Isaura Retana",6,0
"Se jugaron los primero partidos de ida de los cuartos de final de la #ChampionsLeague 🏆 donde en el encuentro entre el #RealMadrid y el #ManchesterCity nos regaló un festival de goles ⚽️ dejando todo para el partido de vuelta en Inglaterra 😯.

Más info en link en bio 🔗

FL",0,0
"💼¡Se acabó la tranquilidad en #Durango! Este 10 de abril y hasta el 29 de mayo, inician las campañas electorales locales para ocupar un lugar en el Congreso del Estado.🗳️

✍🏻: @brendagarcia80

Más info en el link en bio🔗

GH",6,0
"🚨Como si se tratara de una película de terror, más de una veintena de animales como perros, gatos y fauna del lugar, perdieron la vida cerca del fraccionamiento Campestre en #Durango.😓🐶

✍🏻: @chuycarrillo_tv

Más info en el link en bio🔗

GH",17,0
"🔭Un trío de jóvenes científicos en busca de observar el increíble espectáculo del Eclipse Solar Total del año en #Durango.🙌🏼🤩

🔴En #POSTA te contamos más sobre ellos.🙌🏼

📹:Jesús Carrillo",54,0
"😲Así fue como se vivió el #EclipseSolarTotal desde el Bebeleche Museo Interactivo de #Durango, en donde cientos de personas incluyendo turistas vivieron una experiencia inolvidable.🙌🏼🔭🌒

📹: Isaura Retana",16,0
"🔭Un trío de jóvenes científicos en busca de observar el increíble espectáculo del Eclipse Solar Total del año en #Durango.🙌🏼🤩

🔴En #POSTA te contamos más sobre ellos.🙌🏼

✍️:Jesús Carrillo

Más info en el link en bio. 🔗

AH",12,0
"🟣Tras dos años del lamentable caso de #DebanhiEscobar, seguimos exigiendo justicia por ella y por todas las victimas de #feminicidio.😢

AH",38,0
"Científicos internacionales vivieron de cerca este fenómeno astronómico en tierra duranguense. 🔭🌗

Más info en link en bio 🔗

✍🏻: Jesús Carrillo

FL",0,0
"🗳️Según una encuesta que realizamos en la red social ‘X’, la candidata por la coalición ‘Fuerza y Corazón por México’ que conforman los partidos PAN, PRI y PRD, @xochitlgalvez, fue la ganadora del primer #debatepresidencial con un 71% por ciento de la votación.😱🇲🇽

✍🏻: @gera_justice

Más info en el link en bio🔗

GH",11,0
"☀️¡Por si se lo perdieron!🤩 Aquí les dejamos algunas fotos de como presenciamos el #EclipseSolar en #Durango.⛅️

📸: @gera_justice

GH

#eclipse #sol #luna",65,0
"En POSTA Durango tuvimos la oportunidad de platicar un poco con Danilo Torres, el coordinador logístico de un equipo de científicos e ingenieros que se dedican a la observación del sol durante los #eclipses.☀️🙌🏻

🎥: @chuycarrillo_tv

#eclipse #eclipsesolar #Durango",26,0
"🗳️ Primer Debate Presidencial 2024 | En el primero de los tres debates presidenciales, Xóchitl Gálvez candidata de Fuerza y Corazón por México, habló sobre la inseguridad en México.

#CoberturaTotal #POSTAVoto24 #Elecciones2024Mx #DebatePresidencial2024 #DebateINE #POSTAMX",243,10
"🔴En #POSTA te compartimos la importancia de apreciar el #EclipseSolarTotal del próximo 8 de abril de manera segura.🔭ℹ️

✍️:Alicia Pardo

Más info en el link en bio. 🔗

AH",11,0
"🙌🏼Gracias a la victoria que tuvo la #RanizaFC, aseguraron su clasificación al #playoff de la #KingsLeagueSantander.🤩⚽️

✍️:Gerardo Lares

Más info en el link en bio. 🔗

AH",2,0
"Banda @elrecodooficial hace vibrar a más de 20 mil personas en el Festival Ricardo Castro 2024. 💃🏻🕺🏻

Más info en link en bio 🔗

✍🏻: Lorena Ríos

FL",0,0
"Al menos una persona fallecida y cuantiosos daños materiales, así como el cierre momentáneo de la Supercarretera Durango - Mazatlán, es el saldo de un accidente ocurrido este domingo en el kilómetro 163. 🫣

Más info en link en bio 🔗

✍🏻: Luis Lozano

FL",9,0
"#ÚLTIMAHORA 🚨 Cerraron la supercarretera a Mazatlán en ambos sentidos por accidente.

Más info en link en bio 🔗",12,0
"Un joven motociclista perdió la vida al ser embestido por el coche de un conductor que estaba alcoholizado. 🫣

Más info en link en bio 🔗

✍🏻: Luis Lozano

FL",5,0
"📅A partir del 10 de abril se pondrá en funcionamiento una plataforma web 🌐 la cual le permitirá a los ciudadanos acceder a información sobre los perfiles de los candidatos, fomentando así un voto informado.👁️🔎

✍️:Isaura Retana

Más info en el link en bio. 🔗

AH",4,0
"🤩¡Cada vez falta menos para poder observar el evento astronómico más esperado del año! 🔭🌕

🔴En #POSTA te contamos que son las cosas a las que debes prestar atención durante el próximo #EclipseSolar del 8 de abril de 2024.

🎥: Alejandra H
✍️:Brenda García",56,3
"⚽️🗣Javier “Chicharito” Hernández se ha estrenado como goleador en su regreso a las Chivas, a las que llegó como el gran refuerzo para este Clausura 2024. 🤩😱

✍️: A.G Gonzales

Más info en el link en bio.🔗

AH",5,0
"🤔¿Sabes cuáles son los planetas y estrella que se podrán apreciar en el próximo eclipse del 8 de abril?🌒🔭🤩
🔴En #POSTA, te lo contamos.

✍🏻: Alejandro Ávila

Más info en el link en bio.🔗

AH",9,0
