title,reactions,comments,shares
#DenunciaCiudadana | María Yaneth Gómez Guzmán denuncia a la empresa MASHALA por despido injustificado y abuso laboral al no recibir sus prestaciones de ley.,15,4,5
#DenunciaCiudadana | La Sra. Gloria Barrera denunció a la Secretaría del #Bienestar Federal de depositarle solo 7 mil pesos de los 12 mil correspondiente a la pensión de adulto mayor.,24,2,2
"#Durango | Busca Esteban Villegas que el extinto equipo de béisbol 
 #Generales se quede en Durango, este martes se reunirá con Guillermo Murra, presidente de Algodoneros quien le hará una oferta.",8,No element,No element
"No sean 
 La Dirección Municipal de Servicios Públicos hizo un exhorto a la población para ser más limpios. La Plaza de Armas de #Durango amanece saturada de basura los días lunes.
En promedio barrido manual recoge hasta 14 toneladas de desechos cada inicio de semana.",8,No element,No element
"#Durango | Humberto Santana, miembro del sindicato de la CTM, reconoce que siguen los casos de 4cos0 s3xu4l en el transporte público. La semana pasada fue 4c0s4da una trabajadora del Ayuntamiento por un hombre  en la ruta naranja 'San Mateo’.",16,No element,No element
"#8M | La regidora del PAN, María Elena González, exhortó a las mujeres de Durango para manifestarse de una forma tranquila. Pide que no se genere violencia y no se repitan las acciones ocurridas el año pasado, en el día de la mujer ",11,No element,No element
#Noti12 Primera Edición,80,No element,No element
SANTA MISA,45,No element,No element
#Ahora | El Gobernador Esteban Villegas tomó protesta al Dr. Moisés Nájera Torres como nuevo titular de la Secretaría de Salud de Durango.,47,No element,No element
"#Atención | Cuidado con los fraudes 
   Están realizando llamadas a través de la app WhatsApp a nombre de Canal 12, y preguntado que si desean pertenecer o mantenerse en el grupo de difusión de noticias de WhatsApp de Canal 12, les brinden el número de confirmación que se pide en WhatsApp. ESTO ES FALSO 
   Canal 12 no te pedirá contraseñas ni información personal.   … Ver más",54,No element,No element
SANTA MISA,57,No element,No element
NOTICIAS DEL SÁBADO,17,No element,No element
