Title,Likes,Comments
,,
"Si, si, si, se cayó #facebook ¿pero ya vieron quién viene a #Durango ? 👀",31,2
,,
#ÚltimaHora | #Durango | El regidor Manuel de la Peña de la Parra hizo oficial su incorporación al partido Movimiento,9,1
,,
#Durango | Atiende @ujed_oficial entre 13 y 15 denuncias de violencia de género.,31,0
,,
#Ahora | El Gobernador Esteban Villegas tomó protesta al Dr. Moisés Nájera Torres como nuevo titular de la Secretaría de,58,3
,,
"#Atención | Cuidado con los fraudes ‼️ 🆘 Están realizando llamadas a través de la app WhatsApp a nombre de Canal 12, y",66,0
,,
"Costo, pero a qué viernes 😵‍💫 o ¿cómo era? 😂

Á",248,3
,,
Colectivos feministas advierten que en la @utdurango e @itd_oficial se niegan a que jóvenes mujeres coloquen carteles,54,3
,,
#Durango | El Cabildo ratificó a 3 nuevos directores municipales:,22,0
,,
"#Ahora | Solicita Gabriela Hernández, licencia para separarse del cargo como diputada local, se queda como suplente",42,1
,,
#Deportes | Generales de Durango ya no existen y no jugarán esta temporada 🥺⚾️,72,0
,,
"#Policiaca | Se registra aparatoso accidente en la curva próxima a Cerro Gordo, en Carretera a Parral.",240,7
,,
Estos son los tres tipos de tarjeta que forman parte del programa #TarjetaMadre para #Durango,67,2
