Titles_length,Sentiments,Total_interactions
28,0.00947869957593271,0
30,0.0018370402772129191,6
55,0.002241106790479231,0
45,0.461799490794411,6
47,5.9988324812411e-07,17
33,0.05870745643598194,54
32,0.33717806268080874,16
43,0.021321739460888715,12
24,8.56484426593748e-06,38
25,0.6658651568523377,0
66,0.0006880654467979147,11
32,0.0007535064251076319,65
46,0.943946547755436,26
44,0.009645350479292507,253
34,0.36038018365013796,11
34,0.013652266479987076,2
31,0.0018569653345942203,0
49,0.0008635169136601993,9
21,0.45050454332713635,12
32,0.0014435803289961986,5
50,0.00011460187183492424,4
51,0.0001833113494536332,59
43,0.00025673157781307024,5
41,0.004151880213488195,9
