Title,Likes,Comments
,,
"El rector de la #UJED Rubén Solís Ríos, informó sobre los cambios que tendrán 11 facultades y la rectoría, en las",2,0
,,
🛑Para que tomes tus precauciones y manejes con cuidado⚠️,6,0
,,
"📲¡Por esto se cayó Facebook!😱 Es día de la abstinencia digital📵

C",22,0
,,
¡Pero las risas no faltaron! 🤣aquí les traemos nuestros memes favoritos de la caída de facebook e instagram 😂,73,2
,,
¡Lo que se le viene a Chivas! 🔜,67,0
,,
"😱🛻¿Ya conocías la camioneta del compa de los caballos? 🐎 🐴

✍️",14,0
,,
🥊La Velada del Año 4 se realizará el sábado 13 de julio en el estadio Santiago Bernabéu y se transmitirá vía Twitch.📱,18,0
,,
"Por segundo año consecutivo #Blinkay 🔵 estará en #Durango 🦂, conoce más sobre cómo usar esta aplicación de pagos de",16,0
,,
"#VIRAL | ♋⛎Descubre cada 7 días el #horóscopo semanal que #PostaMéxico trae para ti, cada semana la predicción para",4,0
,,
"La cuenta de #Crisnorway, un popular tiktoker conocido por sus videos de entrevistas en la calle y algunos retos, ha",22,3
,,
"#ÚltimaHora 🚨 | Fallece el actor Juan Verduzco, recordado por su papel como “Don Camerino” en La Familia P. Luche",8,0
,,
"Durante un concierto que ofreció en #Sonora, el cantante hizo una pausa en una de sus canciones y afirmó al público",14,0
