Title,Likes,Comments,Saved
"Durante la visita de #ClaudiaSheinbaum a #Durango 🦂, se hizo presente la mercancía de #AMLO para los fieles seguidores de

sonido original - POSTA Durango
Durango",6639,297,298
"#Últimahora 🚨

En #Durango se ha registrado un intento de robo, una persona desconocida ingresó a un preescolar para intentar llevarse a un niño.🚔





Suspense, horror, piano and music box - takaya
Durango",5137,84,435
"¿Cuevas en #Durango? ⛰️
Acompáñanos junto a @Luis Lozano a recorrer las increíbles cuevas de
Half Soul Bleachers - Jonathan Paulsen
Sebastián Lerdo de Tejada",9201,145,1066
"Jorge Mojica | La Entrevista con Luis Lozano.

Conoce más sobre el Ing. Jorge Mojica, Director del Periódico Victoria; con 30 años en el mando de este medio de comunicación.

original sound - POSTA Durango",9,1,0
"Jorge Mojica | La Entrevista con Luis Lozano.

Conoce más sobre el Ing. Jorge Mojica, Director del Periódico Victoria; con 30 años en el mando de este medio de comunicación.

original sound - POSTA Durango",12,0,0
"Se reporta un gran desperdicio de agua 💧 debido a que colapsó el sistema de distribución de agua Gabino Santillán 😰 principal línea que abastece a #Durango.


original sound - POSTA Durango",85,3,3
"¡Aprovecha la primavera!🌼 Es el momento ideal para comenzar tu huerto en casa.🌱🍅

Brenda Morales, Consultora de Sustentabilidad en Ecosiente nos comparte como crear un huerto en casa y los beneficios que tiene.🤩

sonido original - POSTA Durango
Durango
2",28,1,4
"#EnLaShorcha ✨ | #MarianaSeoane admitió que su debilidad son los chacales, pues le encantan. 🫣

✍🏻: @mariomoon31
sonido original - POSTA Durango",13,0,0
"#EnLaShorcha ✨ | ¡Ya se confirmó! #Belinda será la protagonista de “Mentiras: La Serie”, ¡conoce a todo el elenco! 😎

sonido original - POSTA Durango",9,0,1
"La #Entrevisa 🎤 con Jorge Mojica 😃 solo en #POSTA
sonido original - POSTA Durango",4,0,0
"#EnLaShorcha ✨ | La Academia de Hollywood regresa con una alfombra roja para los Óscar 2024😱

✍️: @mariomoon31
sonido original - POSTA Durango",2,0,0
"Cobertura especial de #POSTA en la marcha del #8m 🟣 por la avenida principal de #Durango , 20 de noviembre.

🎥: Isaura Retana- Brenda García
Canción sin miedo Jey Pizano - Jey Pizano
Durango",130,1,4
"#EnLaShorcha ✨ | Silvia Pinal manda mensaje a sus seguidores desde el hospital. 🏥

✍️: @mariomoon31
sonido original - POSTA Durango",0,0,0
"#EnOtrasPalabras 💬 | ¿Ponen bardas para protegerse de nosotras?🤔 #8M

✍🏻: @Sof_Otero
sonido original - POSTA Durango",58,4,0
"¡Una mujer a prueba de fuego! 👩🏻‍🚒
Para Jazmín el servir a la ciudadanía es parte de su labor como bombero, ¡conócela! 😎

sonido original - POSTA Durango
Durango",13,0,1
"#WikiChip | Comenzamos con las campañas presidenciales 🗳️ en redes sociales, te informamos cómo va cada candidato. 🧐

original sound - POSTA Durango",20,0,2
"¡#Durango 🦂 es el privilegiado para ver el próximo eclipse solar! 🙌🏻 Conoce más sobre los elementos que debes tener para poder observarlo correctamente. 🔭

sonido original - POSTA Durango
Durango",2,0,1
"😱🛻¿Ya conocías la camioneta del compa de los caballos? 🐎 🐴

✍️:Jesús Carrillo
sonido original - POSTA Durango
Durango",102,4,5
"📲Blinkay estará a cargo del cobro de estacionómetros virtuales por segundo año consecutivo.🚙

✍️: @isauraretana
sonido original - POSTA Durango
Durango",36,0,4
"#EnLaShorcha ✨ | KarolG dice que algo pasa con la energía a su alrededor, pues las cosas no le están saliendo bien. 😱

sonido original - POSTA Durango",1,0,0
"#EnLaShorcha ✨ | ¿Qué puedes esperar de alguien que le levanta la mano a su propia madre?🫤 dice Yolanda Andrade refiriéndose a Cristian Castro.🤦🏻‍♀️

sonido original - POSTA Durango",3,0,0
"Aves Tordo Cabeza Amarilla en #Durango

¿Te imaginas ir manejando y que pasen volando por encima de ti más de 20,000 pájaros? 😯 🐦‍⬛


love nwantinti (ah ah ah) - CKay",28,1,2
"No es complot, es protección a la información privada; #WikiChip📱 te informa qué sí puedes poner en un vídeo para que no te lo bajen. 😁

sonido original - POSTA Durango",8,0,0
"¿Sabes el destino final de la basura? 🚮 Aquí te dejamos sus etapas y cuál es el proceso de la basura en #Durango. 🦂🙌🏼

sonido original - POSTA Durango",8,0,1
"#EnLaShorcha ✨ | ¡Alan de Magneto es fuertemente criticado en los 90’s Pop Tour!😰🎤✍️: @mariomoon31
original sound - POSTA Durango",2,0,0
"#EnLaShorcha ✨ | ¡La actriz Cynthia Klitbo fue victima de los hackers!😱📲

✍️: @mariomoon31
original sound - POSTA Durango",1,0,0
