Title,Likes,Comments
"🔭Un trío de jóvenes científicos en busca de observar el increíble espectáculo del Eclipse Solar Total del año en #Durango.🙌🏼🤩

🔴En #POSTA te contamos más sobre ellos.🙌🏼

📹:Jesús Carrillo",0,0
"😲Así fue como se vivió el #EclipseSolarTotal desde el Bebeleche Museo Interactivo de #Durango, en donde cientos de personas incluyendo turistas vivieron una experiencia inolvidable.🙌🏼🔭🌒

📹: Isaura Retana",4 likes,0
"🔭Un trío de jóvenes científicos en busca de observar el increíble espectáculo del Eclipse Solar Total del año en #Durango.🙌🏼🤩

🔴En #POSTA te contamos más sobre ellos.🙌🏼

✍️:Jesús Carrillo

Más info en el link en bio. 🔗

AH",5 likes,0
"🟣Tras dos años del lamentable caso de #DebanhiEscobar, seguimos exigiendo justicia por ella y por todas las victimas de #feminicidio.😢

AH",21 likes,0
"Científicos internacionales vivieron de cerca este fenómeno astronómico en tierra duranguense. 🔭🌗

Más info en link en bio 🔗

✍🏻: Jesús Carrillo

FL",0,0
"🗳️Según una encuesta que realizamos en la red social ‘X’, la candidata por la coalición ‘Fuerza y Corazón por México’ que conforman los partidos PAN, PRI y PRD, @xochitlgalvez, fue la ganadora del primer #debatepresidencial con un 71% por ciento de la votación.😱🇲🇽

✍🏻: @gera_justice

Más info en el link en bio🔗

GH",10 likes,0
"☀️¡Por si se lo perdieron!🤩 Aquí les dejamos algunas fotos de como presenciamos el #EclipseSolar en #Durango.⛅️

📸: @gera_justice

GH

#eclipse #sol #luna",61 likes,0
"En POSTA Durango tuvimos la oportunidad de platicar un poco con Danilo Torres, el coordinador logístico de un equipo de científicos e ingenieros que se dedican a la observación del sol durante los #eclipses.☀️🙌🏻

🎥: @chuycarrillo_tv

#eclipse #eclipsesolar #Durango",24 likes,0
"🗳️ Primer Debate Presidencial 2024 | En el primero de los tres debates presidenciales, Xóchitl Gálvez candidata de Fuerza y Corazón por México, habló sobre la inseguridad en México.

#CoberturaTotal #POSTAVoto24 #Elecciones2024Mx #DebatePresidencial2024 #DebateINE #POSTAMX",231 likes,10
"🔴En #POSTA te compartimos la importancia de apreciar el #EclipseSolarTotal del próximo 8 de abril de manera segura.🔭ℹ️

✍️:Alicia Pardo

Más info en el link en bio. 🔗

AH",11 likes,0
"🙌🏼Gracias a la victoria que tuvo la #RanizaFC, aseguraron su clasificación al #playoff de la #KingsLeagueSantander.🤩⚽️

✍️:Gerardo Lares

Más info en el link en bio. 🔗

AH",2 likes,0
"Banda @elrecodooficial hace vibrar a más de 20 mil personas en el Festival Ricardo Castro 2024. 💃🏻🕺🏻

Más info en link en bio 🔗

✍🏻: Lorena Ríos

FL",0,0
