Title,Likes,Comments,Saved
"Samuel García presume la primera Cybertruck que llegó a México
👉🏻 https://elsiglo.mx/d1531360 #Tesla
sonido original - El Siglo de Durango",12,1,0
original sound El Siglo de Durango,2,0,0
"Ceci Flores, madre buscadora, se viste de beisbolista para que AMLO la atienda 👉🏻 https://elsiglo.mx/d1531322 #AMLO
sonido original - El Siglo de Durango",1,0,0
"CORTE INFORMATIVO 19/03/2024 #NOTICIASSTV #Noticias #NoticiasHoy #Durango
sonido original - El Siglo de Durango",21,0,0
"Hoy por la mañana se dio a conocer el nombre del equipo profesional de béisbol en el estado, Caliente de Durango, junto con uno de los jerseys, adicional a esto pudimos entrevistar a Carlos Alberto Cedillo, Presidente Ejecutivo del club.
sonido original - El Siglo de Durango
CapCut · Edit like a pro",40,1,1
"Amenaza de huelga en la Coesvi #Durango #Coesvi
sonido original - El Siglo de Durango",54,2,0
"Encuentran cuerpo sin vid4 en La Ferrería #Durango
👉🏻 https://elsiglo.mx/d1531249 #Durango
sonido original - El Siglo de Durango",86,3,1
"🚨 Confirmado: habrá operativos antialcohol durante este próximo periodo vacacional de #SemanaSanta en #Durango; buscarán prevenir accidentes con esta medida.
sonido original - El Siglo de Durango",72,2,3
"Incendio arrasa con boda en San Miguel de Allende
👉🏻 https://elsiglo.mx/d1531127 #Viral #Nacional #Incendio
sonido original - El Siglo de Durango",25,0,0
"Fall3cen 2 menores en accidente carretero en la Durango-Parral
👉🏻 https://elsiglo.mx/d1531176 #Durango
sonido original - El Siglo de Durango",163,1,7
"Joven varón sufre accidente en el brazo izquierdo tras participar en torneo de vencidas en el estado de Durango
sonido original - El Siglo de Durango",21,0,2
"¿Sabías del volcán inactivo que tiene #Durango? En este video te presentamos el “Jagüey”, ubicado en el municipio de Canatlán, Durango.
sonido original - El Siglo de Durango",25,0,1
"Salinas Pliego cuestiona flores enviadas a La Gilbertona
👉🏻https://elsiglo.mx/d1530993 #LaGilbertona
sonido original - El Siglo de Durango",169,4,10
"Promete Xóchitl Gálvez programa de vivienda para jóvenes 👉🏻 https://elsiglo.mx/d1530978 #xochitlgalvez #Mexico
sonido original - El Siglo de Durango",18,6,0
"🔭 Crece el interés en #Durango por la observación astronómica
sonido original - El Siglo de Durango",20,0,0
"💬 Jóvenes duranguenses piden apoyo de la ciudadanía para seguir con sus actividades de difusión científica
sonido original - El Siglo de Durango",11,0,0
"Ayer por la noche en el vuelo AM113 de Aeroméxico, una mujer dio a luz en pleno vuelo de Ciudad de México a Cd. Juárez
sonido original - El Siglo de Durango
CapCut · Edit like a pro",53,1,2
"Con la filtración del nombre del equipo encabezado por Emilio Hank, esto opina la gente sobre ""Calientes de Durango""
sonido original - El Siglo de Durango
CapCut · Edit like a pro",98,3,5
"💫 Amantes de los animes, cómics y el cosplay se darán cita este fin de semana en la convención denominada Super Con, a las afueras del Auditorio del Pueblo
sonido original - El Siglo de Durango",13,0,0
"Bomberos salvan a bebé de m0r1r asfixiado
👉🏻 https://elsiglo.mx/d1530995 #Durango #ProteccionCivil
sonido original - El Siglo de Durango",69,1,0
"Taxi termina volcado en parque de Nazas; conductor huyó 👉🏻 https://elsiglo.mx/d1530980 #Durango #ParqueNazas #IncidenteVial
sonido original - El Siglo de Durango",88,3,2
"Motociclista fall3ce tras choque esta mañana en bulevar Francisco Villa
👉🏻 https://elsiglo.mx/d1530975 #Durango
sonido original - El Siglo de Durango",29,0,1
"📰 #Las5DeLaSemana con Fernanda Calderón.
sonido original - El Siglo de Durango",11,0,1
"¿Sabías que ya puedes ver en tiempo real la calidad del aire en #Durango? 🧐 Checa este tutorial para hacerlo. 👆
sonido original - El Siglo de Durango",5,0,0
"Xóchitl Gálvez afirma que en su gobierno obras de infraestructura no estarán a cargo de militares 👉🏻 https://elsiglo.mx/d1530726
sonido original - El Siglo de Durango",20,4,1
"CORTE INFORMATIVO 15/03/2024 #NOTICIASSTV #Noticias #NoticiasHoy #Durango
sonido original - El Siglo de Durango",60,0,2
"Maestro agredió a la Directora de Psicología y Terapia de la Comunicación Humana
👉🏻 https://elsiglo.mx/d1530771
sonido original - El Siglo de Durango",17,0,0
"Motociclista fall3ce tras chocar con camioneta en bulevar Guadiana
👉🏻 https://elsiglo.mx/d1530803 #Durango
sonido original - El Siglo de Durango",48,1,1
"En Durango, solo 10% de motocicletas retenidas han sido recogidas
👉🏻 https://elsiglo.mx/d1530683 #Durango
sonido original - El Siglo de Durango",105,9,4
"AMLO asegura que se va contento y con la conciencia tranquila
👉🏻 https://elsiglo.mx/d1530675 #AMLO #Mexico #Nacional
sonido original - El Siglo de Durango",42,3,1
"CORTE INFORMATIVO 14/03/2024 #NOTICIASSTV #Noticias #NoticiasHoy #Durango
sonido original - El Siglo de Durango",15,0,0
"'Calientes de Durango', nuevo nombre del equipo de beisbol 
👉🏻 https://elsiglo.mx/d1530599 #Durango #LMB
sonido original - El Siglo de Durango",16,4,1
"Bomberos rescatan a varón tras volcadura en salida a Mezquital
👉🏻 https://elsiglo.mx/d1530661 #Durango
sonido original - El Siglo de Durango",69,0,1
"¡Lo volvió a hacer! Hombre lanza billetes de 500 pesos en malecón de Mazatlán
👉🏻 https://elsiglo.mx/d1530423
sonido original - El Siglo de Durango",7,0,1
"En redes sociales se ha viralizado ""la teoría de marzo"", y aquí te explicamos en qué consiste
sonido original - El Siglo de Durango",369,3,65
