Titles_length,Sentiments,Total_interactions
23,0.05326698002595583,128
22,0.23025608202990563,203
30,0.12800616953413793,7985
33,0.09143788830525917,4
33,0.09143788830525917,5
27,0.00028905072004393984,1
26,0.10069380146804596,3
25,0.21806344347886186,6
18,0.31271984648204443,5
31,0.0024938241759653377,38
26,0.5449078052835294,33
34,0.4086436256744727,12
38,0.939136838238616,193
39,0.00022213362712452265,34
41,2.3594356468550232e-05,27
27,0.6754912038784733,37
27,0.6754912038784733,19
24,0.016728388373571525,9
29,0.05223251964336241,27
22,0.31271984648204443,6
34,0.9999990658806539,654
20,0.7093365858518859,2
28,0.998912372986285,654
55,0.0023371033508869173,39
43,0.023806783618141206,2
26,0.20654878283776273,7
41,0.03768636124458537,57
28,0.7465645893410062,219
50,4.990019891729541e-06,10
26,0.0033063892346991185,39
29,0.26380260303145536,45
28,0.04016815292918424,1
39,0.07513150230986887,106
35,0.01442911571297886,6
17,0.31271984648204443,5
